2025-07-03 23:42:26,042 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 00:43:10,059 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:12,423 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:14,670 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:17,032 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:19,237 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:21,630 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:23,855 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:26,237 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:28,492 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:30,736 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:33,084 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:35,348 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:37,581 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:12,650 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 01:29:13,130 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:15,392 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:17,764 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:19,997 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:22,389 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:24,713 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:27,014 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:29,687 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:30,044 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:31,675 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:33,058 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:33,935 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:36,306 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:37,957 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:38,671 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:38,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:40,840 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:43,251 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:45,490 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:47,865 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:50,083 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:52,575 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:54,821 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:57,162 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:59,507 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:01,773 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:04,069 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:06,379 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:08,728 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:11,088 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:13,391 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:15,630 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:17,943 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:20,272 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:22,683 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:24,914 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:27,253 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:29,501 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:31,891 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:34,148 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:36,487 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:38,880 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:41,116 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:43,472 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:45,738 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:48,051 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:50,413 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:52,719 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:54,957 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:57,287 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:30:59,644 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:01,990 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:04,352 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:06,751 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:08,956 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:11,211 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:13,548 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:15,900 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:18,168 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:20,529 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:22,780 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:25,142 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:27,354 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:29,707 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:32,102 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:34,352 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:36,709 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:38,967 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:41,319 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:43,689 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:45,914 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:48,257 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:50,524 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:52,863 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:55,130 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:57,495 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:31:59,754 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:02,069 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:04,341 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:06,734 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:09,011 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:11,318 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:13,667 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:16,018 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:18,267 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:20,562 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:22,884 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:25,231 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:27,485 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:29,788 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:32,194 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:34,440 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:36,788 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:39,064 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:41,398 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:43,781 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:46,037 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:48,380 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:50,643 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:53,002 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:55,347 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:57,589 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:32:59,953 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:02,299 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:04,562 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:06,936 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:09,179 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:11,527 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:13,779 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:16,085 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:18,396 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:20,729 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:23,101 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:25,454 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:27,701 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:30,083 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:32,307 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:34,619 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:36,909 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:39,229 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:41,635 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:43,908 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:46,250 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:48,514 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:50,720 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:55,943 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:59,699 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:08,094 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:15,158 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:21,196 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:26,628 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:28,983 - sltp - INFO - Market data update received, triggering SL/TP check
