2025-07-06 21:12:15,801 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-06 21:14:38,886 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:41,213 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:43,470 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:45,817 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:48,063 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:50,429 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:52,664 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:54,932 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:57,260 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:59,523 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:01,893 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:04,149 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:06,487 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:08,740 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:11,003 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:13,362 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:15,722 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:17,973 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:20,429 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:22,777 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:25,043 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:27,388 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:29,630 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:32,006 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:34,250 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:36,607 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:38,950 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:41,222 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:43,488 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:45,818 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:48,061 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:50,424 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:52,689 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:55,036 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:57,290 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:15:59,634 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:01,899 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:04,159 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:06,526 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:08,772 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:11,116 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:13,362 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:15,722 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:17,960 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:20,315 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:22,525 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:24,834 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:27,184 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:29,471 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:31,800 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:34,039 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:36,313 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:38,607 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:40,910 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:43,188 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:45,504 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:47,882 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:50,125 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:52,376 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:54,746 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:56,969 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:16:59,248 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:01,596 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:03,852 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:06,242 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:08,463 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:10,815 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:13,066 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:15,331 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:17,580 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:19,905 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:22,158 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:24,439 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:26,771 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:29,049 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:31,314 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:33,638 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:35,997 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:38,261 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:40,519 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:42,858 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:45,120 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:47,366 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:49,679 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:51,937 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:54,245 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:56,494 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:17:58,840 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:01,199 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:03,386 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:05,716 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:08,072 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:10,310 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:12,682 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:14,922 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:17,183 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:19,525 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:21,845 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:24,033 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:26,316 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:28,603 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:30,872 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:33,436 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:35,485 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:38,170 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:40,497 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:42,749 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:45,103 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:47,356 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:49,712 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:51,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:54,188 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:56,574 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:18:58,829 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:01,052 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:03,337 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:05,680 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:08,029 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:10,306 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:12,548 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:14,903 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:17,158 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:19,510 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:21,761 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:24,000 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:26,280 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:28,623 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:30,876 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:33,433 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:35,452 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:37,843 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:40,072 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:42,344 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:44,704 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:46,951 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:49,210 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:51,461 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:53,816 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:56,073 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:19:58,447 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:00,700 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:02,926 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:05,292 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:07,556 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:09,893 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:12,143 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:14,407 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:16,761 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:19,033 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:21,359 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:23,629 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:25,856 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:28,160 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:30,509 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:32,758 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:35,046 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:37,346 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:39,618 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:41,910 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:44,205 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:46,461 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:48,724 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:51,076 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:53,327 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:55,643 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:20:57,927 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:00,187 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:02,539 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:04,750 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:07,031 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:09,304 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:11,654 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:13,881 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:16,262 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:18,517 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:20,774 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:23,130 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:25,341 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:27,620 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:29,984 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:32,158 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:34,483 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:36,833 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:39,047 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:41,458 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:43,716 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:45,957 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:48,309 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:50,570 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:52,802 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:55,112 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:57,420 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:21:59,682 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:02,034 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:04,287 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:06,541 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:08,897 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:11,157 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:13,414 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:15,763 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:18,007 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:20,378 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:22,624 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:24,866 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:27,231 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:29,479 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:31,738 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:34,085 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:36,341 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:38,695 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:40,950 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:43,212 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:45,597 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:47,809 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:50,164 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:52,615 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:54,804 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:57,128 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:22:59,474 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:01,722 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:03,993 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:06,244 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:08,612 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:10,838 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:13,143 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:15,419 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:17,721 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:20,052 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:22,314 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:24,581 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:26,932 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:29,292 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:31,637 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:33,883 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:36,245 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:38,482 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:40,757 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:43,118 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:45,370 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:47,725 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:49,973 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:52,217 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:54,586 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:56,830 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:23:59,176 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:01,438 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:03,784 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:06,043 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:08,401 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:10,650 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:12,897 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:15,197 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:17,526 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:19,871 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:22,126 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:24,484 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:26,696 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:29,081 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:31,436 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:33,699 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:35,947 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:38,294 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:40,532 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:42,901 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:45,141 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:47,397 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:49,745 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:52,004 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:54,378 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:56,631 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:24:58,960 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:01,203 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:03,476 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:05,846 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:08,078 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:10,341 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:12,587 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:14,855 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:17,163 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:19,470 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:21,725 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:24,063 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:26,312 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:28,670 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:30,932 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:33,672 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:36,152 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:37,900 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:40,154 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:42,430 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:25:44,656 - sltp - INFO - Market data update received, triggering SL/TP check
